Game,Score,Year,Platform,Developer,Genre(s),Notes
Scarlet Nexus,3,2025,PS5,Bandai Namco,Action | RPG,-
Trails through Daybreak,4+,2024,PS5,Nihon Falcom,Turn-based | RPG,-
Ys VIII: Lacrimosa of Dana,3,2024,PS4,Nihon Falcom,Action | RPG,-
Castlevania: Symphony of the Night,3,2024,PS4,Konami,Action | RPG | Platformer,-
Granblue Fantasy: Relink,3+,2024,PS5,Cygames,Action | RPG,-
Dragon Quest III: The Seeds of Salvation,2+,2024,Switch,Square Enix,Turn-based | RPG,"the need to continuously consult a guide is a design flaw"
Dragon Quest,2,2024,Switch,Square Enix,Turn-based | RPG,-
Super Castlevania IV,1+,2024,PS4,Konami,Action | Platformer,-
Sushi Ben,2+,2024,MQ2,Big Braine Studios,Visual novel | Adventure,"lots of potential, but felt like early access"
The Legend of Zelda: A Link to the Past,2+,2024,Switch,Nintendo,Adventure,-
Final Fantasy V,3,2024,Switch,Square Enix,Turn-based | RPG,-
Final Fantasy VIII,3,2024,PS4,Square Enix,Turn-based | RPG,"atrocious leveling system"
Final Fantasy II,2,2024,Switch,Square Enix,Turn-based | RPG,"atrocious leveling system"
Final Fantasy,2,2024,Switch,Square Enix,Turn-based | RPG,-
Final Fantasy XIV: Dawntrail,4,2024,PS5,Square Enix,MMO | RPG,-
The Great Ace Attorney,-,2024,Switch,Capcom,Visual novel | Puzzle,"watched"
Danganronpa V3: Killing Harmony,4,2024,PC,Spike Chunsoft,Visual novel | Puzzle,-
Life is Strange 2,3+,2024,PS4,Dontnod Entertainment,Adventure,-
Trails into Reverie,4,2024,PS5,Nihon Falcom,Turn-based | RPG,-
Control,4,2024,PS5,Remedy Entertainment,Action | Adventure,-
13 Sentinels: Aegis Rim,4+,2024,PS4,Vanillaware,Adventure | Strategy,"the final boss of all narrative fiction"
The Sims 4,3,2024,PC,Electronic Arts,Simulation,-
Flower,2,2024,PS4,Thatgamecompany,Adventure,-
Slay the Princess,-,2024,PC,Black Tabby Games,Visual novel,"watched"
Ni no Kuni II: Revenant Kingdom,3,2024,PS4,Level-5,Action | RPG,-
Dragon Quest VIII: Journey of the Cursed King,3,2024,3DS,Square Enix,Turn-based | RPG,-
The Legend of Zelda: Majora's Mask,-,2023,3DS,Nintendo,Adventure,"watched"
Bravely Default II,3+,2023,Switch,Square Enix,Turn-based | RPG,"best turn-based battle system"
Kirby and the Forgotten Land,4,2023,Switch,HAL Laboratory,Action | Platformer,-
Oceanhorn 2: Knights of the Lost Realm,2,2023,Switch,Cornfox & Brothers,Adventure,-
Hogwarts Legacy,4,2023,PS5,Avalanche Software,Action | RPG,"would've liked a morality system"
Final Fantasy XVI,4,2023,PS5,Square Enix,Action | RPG,-
Stray,3,2023,PS5,BlueTwelve Studio,Adventure,-
The Legend of Zelda: Tears of the Kingdom,4+,2023,Switch,Nintendo,Adventure,-
Haven,3,2023,PS5,The Game Bakers,Turn-based | Adventure,-
Kena: Bridge of Spirits,2+,2023,PS5,Ember Lab,Action | Adventure,-
Astro's Playroom,4,2023,PS5,Team Asobi,Action | Platformer,-
Trails of Cold Steel IV,4,2023,PS4,Nihon Falcom,Turn-based | RPG,-
Trails of Cold Steel III,5,2023,PS4,Nihon Falcom,Turn-based | RPG,-
The Legend of Zelda: Skyward Sword,4,2022,Switch,Nintendo,Adventure,-
Trails to Azure,4+,2022,PC,Nihon Falcom,Turn-based | RPG,-
It Takes Two,-,2022,PS5,Hazelight Studios,Adventure | Puzzle | Platformer,"watched"
Final Fantasy XIV: Endwalker,5,2021,PS5,Square Enix,MMO | RPG,-
Bravely Default,4,2021,3DS,Square Enix,Turn-based | RPG,"the 'bad' ending should be the true ending"
Fire Emblem: Three Houses,2+,2021,Switch,Intelligent Systems,Strategy | RPG,"only one route"
Pokemon Unite,3,2021,Switch,TiMi Studio Group,MOBA,-
Fall Guys,3,2021,PC,Mediatonic,Platformer,-
Pokemon Alpha Sapphire,4,2020,3DS,Game Freak,Turn-based | RPG,-
Ghost of Tsushima,5,2020,PS5,Sucker Punch Productions,Action | Adventure,"best realistic graphics"
Danganronpa 2: Goodbye Despair,4,2020,PC,Spike Chunsoft,Visual novel | Puzzle,-
Danganronpa: Trigger Happy Havoc,4+,2020,PC,Spike Chunsoft,Visual novel | Puzzle,-
51 Worldwide Games,3,2020,Switch,NDCube,Puzzle,-
Super Smash Bros. Ultimate,3,2020,Switch,Nintendo,Fighting,-
Persona Q: Shadow of the Labyrinth,3,2020,3DS,Atlus,Turn-based | Dungeon crawler | RPG,-
Trails from Zero,4,2020,PC,Nihon Falcom,Turn-based | RPG,-
Mario Kart 8 Deluxe,3,2020,Switch,Nintendo,Racing,-
Stardew Valley,4,2020,Switch,ConcernedApe,Simulation | RPG,-
Dr Kawashima's Brain Training,1,2020,Switch,Nintendo,Puzzle,-
Assassins Creed: Unity,2,2020,PS4,Ubisoft,Action | Stealth,-
Undertale,5,2020,Switch,Toby Fox,RPG,"by far the best value for money"
The Legend of Zelda: Ocarina of Time,3,2019,3DS,Nintendo,Adventure,-
Advance Wars: Dual Strike,3,2019,DS,Intelligent Systems,Strategy,-
Catherine: Full Body,-,2019,PS4,Atlus,Puzzle | Platformer,"watched"
Trails in the Sky the 3rd,3+,2019,PC,Nihon Falcom,Turn-based | RPG,-
Trails in the Sky SC,5,2019,PC,Nihon Falcom,Turn-based | RPG,-
Trails in the Sky FC,4+,2019,PC,Nihon Falcom,Turn-based | RPG,-
Trails of Cold Steel II,5,2019,PS4,Nihon Falcom,Turn-based | RPG,-
Final Fantasy XIV: Shadowbringers,5,2019,PS4,Square Enix,MMO | RPG,-
The Legend of Zelda: Breath of the Wild,5,2019,Switch,Nintendo,Adventure,-
Tokyo Xanadu eX+,3+,2019,PS4,Nihon Falcom,Action | RPG,-
Kingdom Hearts III,4,2019,PS4,Square Enix,Action | RPG,"best action battle system"
Persona 4 Golden,5,2018,Vita,Atlus,Turn-based | RPG,-
Final Fantasy III,2+,2018,PC,Square Enix,Turn-based | RPG,-
Trails of Cold Steel,5,2018,PS4,Nihon Falcom,Turn-based | RPG,-
Granblue Fantasy,-,2018,Mobile,Cygames,Turn-based | Visual novel | RPG,"impossible to score"
Persona 3 FES,4,2018,PS3,Atlus,Turn-based | RPG,-
Phoenix Wright: Ace Attorney - Spirit of Justice,4,2018,Mobile,Capcom,Visual novel | Puzzle,-
Grim Fandango,3,2018,PS4,LucasArts,Adventure | Puzzle,-
Shadow of the Colossus,3+,2018,PS4,Team Ico,Adventure | Puzzle,-
Rime,2+,2018,PS4,Tequila Works,Adventure | Puzzle,-
Okami,5,2018,PS4,Clover Studio,Adventure,-
Oceanhorn: Monster of Uncharted Seas,2,2018,PS4,Cornfox & Bros,Adventure,-
Detroit: Become Human,-,2018,PS4,Quantic Dream,Adventure,"watched"
Drakengard 3,4,2018,PS3,Access Games,Action,-
Final Fantasy IX,5,2018,PS4,Square Enix,Turn-based | RPG,-
Final Fantasy XII,2,2017,PS4,Square Enix,Turn-based | RPG,"not a Final Fantasy game"
Persona 5,5,2017,PS4,Atlus,Turn-based | RPG,-
NieR,4,2017,PS3,Cavia,Action | RPG,-
World of Final Fantasy,2+,2017,PS4,Square Enix,Turn-based | RPG,-
Octodad: Dadliest Catch,2,2017,PS4,Young Horses,Adventure | Puzzle,-
Resogun,3,2017,PS4,Housemarque,Shooter,-
Final Fantasy Type-0,3,2017,PS4,Square Enix,Action | RPG,-
NieR: Automata,5,2017,PS4,Platinum Games,Action | RPG,-
Final Fantasy XIV: Stormblood,4,2017,PS4,Square Enix,MMO | RPG,-
South Park: The Fractured But Whole,-,2017,PC,Ubisoft,Turn-based | RPG,"watched"
Kingdom Hearts: Dream Drop Distance,4,2017,PS4,Square Enix,Action | RPG,-
Kingdom Hearts Coded,-,2017,PS4,Square Enix,-,"watched the cutscene version"
Kingdom Hearts 358/2 Days,-,2017,PS4,Square Enix,-,"watched the cutscene version"
Final Fantasy VI,-,2017,PC,Square Enix,Turn-based | RPG,"holding off on scoring until Pixel replay"
Final Fantasy XIV: Heavensward,4+,2017,PS4,Square Enix,MMO | RPG,-
Final Fantasy XIV: A Realm Reborn,3+,2017,PS4,Square Enix,MMO | RPG,-
Journey,2+,2017,PS4,Thatgamecompany,Adventure,-
Rise of the Tomb Raider,2,2017,PS4,Crystal Dynamics,Action | Adventure,-
The Sims 3,3+,2017,PC,Electronic Arts,Simulation,-
Final Fantasy X,3,2017,PS4,Square Enix,Turn-based | RPG,-
Final Fantasy IV,3+,2017,PC,Square Enix,Turn-based | RPG,-
Lightning Returns: Final Fantasy XIII,2+,2017,PS3,Square Enix,Turn-based | RPG,-
Final Fantasy XIII-2,2,2017,PS3,Square Enix,Turn-based | RPG,-
J-Stars Victory VS,1+,2017,PS4,Spike Chunsoft,Fighter,-
Final Fantasy XIII,3,2017,PS3,Square Enix,Turn-based | RPG,-
The Last Guardian,3,2017,PS4,Team Ico,Adventure | Puzzle,-
Brothers: A Tale of Two Sons,4,2017,PS4,StarBreeze Studios,Adventure,-
Knack,2,2017,PS4,Japan Studio,Action | Platformer,-
Final Fantasy XV,4,2016,PS4,Square Enix,Action | RPG,-
Uncharted 4: A Thief's End,4,2016,PS4,Naughty Dog,Action | Adventure,-
Dragon Age: Inquisition,3,2016,PS4,BioWare,Action | RPG,-
Hero of the Kingdom 2,2,2016,PC,Lonely Troops,Adventure,-
Hero of the Kingdom,2,2015,PC,Lonely Troops,Adventure,-
Kingdom Hearts: Birth by Sleep,4,2015,PS3,Square Enix,Action | RPG,-
Democracy 3,3,2014,PC,Positech Games,Simulation,-
Hatoful Boyfriend: Holiday Star,-,2014,PC,Mediatonic,Visual novel,"watched"
Hatoful Boyfriend,4,2014,PC,Mediatonic,Visual novel,-
South Park: The Stick of Truth,-,2014,PS3,Ubisoft,Turn-based | RPG,"watched"
Phoenix Wright: Ace Attorney - Dual Destinies,-,2014,3DS,Capcom,Visual novel | Puzzle,"watched"
Smite,4,2014,PC,Hi-Rez Studios,MOBA,-
Kingdom Hearts: Chain of Memories,1,2014,PS3,Square Enix,Action | Card | RPG,"gave up and watched the rest"
Battleblock Theater,3,2014,PC,The Behemoth,Platformer,-
Assassins Creed IV: Black Flag,4,2014,PS3,Ubisoft,Action | Adventure | Stealth,-
Ni no Kuni: Wrath of the White Witch,4,2013,PS3,Level-5,Turn-based | RPG,-
Kingdom Hearts,3,2013,PS3,Square Enix,Action | RPG,-
Sly Cooper: Thieves in Time,3,2013,PS3,Sanzaru Games,Action | Adventure | Stealth | Platformer,-
The Last of Us,-,2013,PS3,Naughty Dog,Action | Adventure,"watched"
Tomb Raider (2013),4,2013,PS3,Crystal Dynamics,Action | Adventure,-
Mass Effect 3,3,2013,PS3,BioWare,Action | RPG,-
PlayStation All-Stars Battle Royale,2,2012,PS3,SuperBot Entertainment,Fighter,-
Hitman: Absolution,3,2012,PS3,IO Interactive,Action | Stealth,-
Assassins Creed III,3,2012,PS3,Ubisoft,Action | Adventure | Stealth,-
Apollo Justice: Ace Attorney,3,2012,DS,Capcom,Visual novel | Puzzle,-
Uncharted: Drake's Fortune,2+,2012,PS3,Naughty Dog,Action | Adventure,-
Uncharted 2: Among Thieves,4,2012,PS3,Naughty Dog,Action | Adventure,-
Jak & Daxter: The Precursor Legacy,2+,2012,PS3,Naughty Dog,Action | Adventure | Platformer,-
Uncharted 3: Drake's Deception,4,2012,PS3,Naughty Dog,Action | Adventure,-
Assassins Creed: Revelations,3,2012,PS3,Ubisoft,Action | Adventure | Stealth,-
Assassins Creed,2,2012,PS3,Ubisoft,Action | Adventure | Stealth,-
Assassins Creed: Brotherhood,4,2012,PS3,Ubisoft,Action | Adventure | Stealth,-
Assassins Creed II,3+,2012,PS3,Ubisoft,Action | Adventure | Stealth,-
Sly Cooper and the Thievius Raccoonus,2,2012,PS3,Sucker Punch Productions,Action | Stealth | Platformer,-
Star Wars: The Force Unleashed,2,2012,PS3,LucasArts,Action | Adventure,-
The Elder Scrolls IV: Oblivion,3,2012,PS3,Bethesda Softworks,Action | RPG,-
The Elder Scrolls V: Skyrim,5,2011,PS3,Bethesda Softworks,Action | RPG,-
Kingdom Hearts II,5,2011,PS3,Square Enix,Action | RPG,-
Ratchet & Clank: A Crack in Time,3,2011,PS3,Insomniac Games,Action | Adventure | Platformer,-
Pokemon XD: Gale of Darkness,-,2011,GC,Genius Sonority,Turn-based | RPG,"watched"
Pokemon Colosseum,-,2011,GC,Genius Sonority,Turn-based | RPG,"watched"
Pokemon Silver,-,2011,GBA,Game Freak,Turn-based | RPG,"no memory of this"
Pokemon Blue,-,2011,GBA,Game Freak,Turn-based | RPG,"no memory of this"
Phoenix Wright: Ace Attorney - Trials and Tribulations,4+,2011,DS,Capcom,Visual novel | Puzzle,-
Phoenix Wright: Ace Attorney - Justice for All,4+,2011,DS,Capcom,Visual novel | Puzzle,-
Phoenix Wright: Ace Attorney,-,2011,DS,Capcom,Visual novel | Puzzle,"watched"
Pokemon White,4,2010,DS,Game Freak,Turn-based | RPG,-
Naruto Shippuden: Ultimate Ninja Storm 2,4,2010,PS3,CyberConnect2,Fighter,-
Final Fantasy VII,5,2010,PS3,Square Enix,Turn-based | RPG,-
Minecraft,4,2010,PC,Mojang,Adventure | Simulation,-
Star Wars: Battlefront II,3+,-,PS2,Pandemic Studios,Shooter,-
Naruto: Ultimate Ninja Storm,3,-,PS3,CyberConnect2,Fighter,-
Naruto Ultimate Ninja 3,2,-,PS2,CyberConnect2,Fighter,-
Ratchet & Clank: Tools of Destruction,3,-,PS3,Insomniac Games,Action | Adventure | Platformer,-
Ratchet & Clank: Size Matters,1+,-,PS2,High Impact Games,Action | Platformer,-
Spider-Man: Web of Shadows,1,-,PS2,Amaze Entertainment,Action | Platformer,"I was bamboozled"
Pokemon Diamond,3,-,DS,Game Freak,Turn-based | RPG,-
Agent Hugo,1,-,PS2,Interactive Television Entertainment,Adventure,-
Digimon Rumble Arena 2,3,-,PS2,Bandai Namco,Fighter,-
Rayman 3: Hoodlum Havoc,-,-,PS2,Ubisoft,Action | Platformer,"no memory of this"
Spyro 2: Ripto's Revenge,-,-,PS1,Insomniac Games,Action | Platformer,"no memory of this"
One Piece: Grand Adventure,3,-,PS2,Ganbarion,Fighter,-
Lego Star Wars: The Complete Saga,3,-,PS3,Traveller's Tales,Action | Platformer,-
Dragon Ball Z: Budokai Tenkaichi 3,4,-,PS2,Spike,Fighter,-
Dragon Ball Z: Budokai Tenkaichi 2,4,-,PS2,Spike,Fighter,-
Dragon Ball Z: Budokai Tenkaichi,2,-,PS2,Spike,Fighter,-
The Sims 2,3+,-,PC,Electronic Arts,Simulation,-
The Sims,2+,-,PS2,Electronic Arts,Simulation,-
Jak X,1,-,PS2,Naughty Dog,Racing,-
Jak 3,4,-,PS2,Naughty Dog,Action | Adventure | Platformer,-
Ape Escape 3,5,-,PS2,Japan Studio,Action | Platformer,-
Ratchet: Gladiator,2+,-,PS2,Insomniac Games,Action | Platformer,-
Worms Forts: Under Siege,3,-,PS2,Team17,Strategy,-
Hugo Bukkazoom!,2,-,PS2,Interactive Television Entertainment,Racing,-
Super Dragon Ball Z,2,-,PS2,Arika,Fighter,-
Sly 3: Honor Among Thieves,4,-,PS2,Sucker Punch Productions,Action | Adventure | Stealth | Platformer,-
Sly 2: Band of Thieves,4,-,PS2,Sucker Punch Productions,Action | Adventure | Stealth | Platformer,-
Donald Duck PK,1,-,PS2,Ubisoft,Action | Platformer,-
Sonic Heroes,3,-,PS2,Sega,Action | Platformer,-
Ultimate Spider-Man,3,-,PS2,Treyarch,Action | Adventure,-
Crash Team Racing,2,-,PS1,Naughty Dog,Racing,-
Ape Escape 2,4,-,PS2,Japan Studio,Action | Platformer,-
Ratchet & Clank 3: Up Your Arsenal,4,-,PS2,Insomniac Games,Action | Platformer,-
Jak II: Renegade,3+,-,PS2,Naughty Dog,Action | Adventure | Platformer,-
Duel Masters: Kaijudo Showdown,2,-,GBA,Mistic Software,Turn-based | Card | Strategy,-
Pokemon Emerald,4,-,GBA,Game Freak,Turn-based | RPG,-
RuneScape,4,-,PC,Jagex,MMO | RPG,-
Ratchet & Clank 2: Going Commando,3,-,PS2,Insomniac Games,Action | Platformer,-
Crash Bandicoot: The Wrath of Cortex,2,-,PS2,Traveller's Tales,Action | Platformer,-
Beyond Good & Evil,4,-,PS2,Ubisoft,Action | Adventure,-
Hugo: The Evil Mirror,2,-,PS1,Interactive Television Entertainment,Action | Platformer,-
Ratchet & Clank,2,-,PS2,Insomniac Games,Action | Platformer,-
Rayman,2,-,PS1,Ubisoft,Action | Platformer,-
Ape Escape,3,-,PS1,Japan Studio,Action | Platformer,"PAL version: better voices, god-awful fps"
